benchmark;environment;processed_gc_log_file_count;stw_pause_count;total_stw_ms;stw_overhead_percent;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;iteration_total_duration_ms;min_gc_uptime_s_in_steady_state_window;max_gc_uptime_s_in_steady_state_window;category_pause_cleanup_count;category_pause_cleanup_ms;category_pause_mark_end_count;category_pause_mark_end_ms;category_pause_mark_start_count;category_pause_mark_start_ms;category_pause_relocate_start_count;category_pause_relocate_start_ms;category_pause_remark_count;category_pause_remark_ms;category_pause_young_count;category_pause_young_ms
page-rank;G1GC-Java-25;6;68;13186.600000;6.335375;301.876130186;618.986142511;317110.012325;208142.365048;534.197000;618.027000;1;12.477000;0;0.000000;0;0.000000;0;0.000000;1;31.381000;66;13142.742000
page-rank;ZGC-Java-21;6;17;0.455000;0.000219;302.502214034;616.137266813;313635.052779;207527.707115;579.942000;609.430000;0;0.000000;6;0.115000;5;0.198000;6;0.142000;0;0.000000;0;0.000000
page-rank;ZGC-Java-25;6;13;0.409000;0.000199;303.001803938;615.420790076;312418.986138;205638.593174;567.917000;609.742000;0;0.000000;4;0.091000;4;0.165000;5;0.153000;0;0.000000;0;0.000000
par-mnemonics;G1GC-Java-21;6;49;2000.966000;0.728324;302.582717631;603.590462542;301007.744911;274735.849635;417.772000;601.951000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;49;2000.966000
par-mnemonics;G1GC-Java-25;6;41;1688.761000;0.616270;300.260474448;603.776848867;303516.374419;274029.185748;439.621000;601.639000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;41;1688.761000
par-mnemonics;ZGC-Java-21;6;14;0.298000;0.000108;302.885010667;605.010997666;302125.986999;276683.938603;586.042000;601.094000;0;0.000000;5;0.077000;4;0.108000;5;0.113000;0;0.000000;0;0.000000
par-mnemonics;ZGC-Java-25;6;14;0.366000;0.000131;301.404653276;605.026878214;303622.224938;279159.686877;589.877000;601.128000;0;0.000000;5;0.084000;4;0.136000;5;0.146000;0;0.000000;0;0.000000
philosophers;G1GC-Java-21;6;40;1726.443000;0.569987;300.722298426;603.634245091;302911.946665;302891.500068;385.689000;601.751000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;40;1726.443000
philosophers;G1GC-Java-25;6;43;1923.903000;0.634408;300.195204382;603.474462061;303279.257679;303259.770302;347.576000;601.093000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;43;1923.903000
philosophers;ZGC-Java-21;6;14;0.425000;0.000140;301.033179939;603.776809208;302743.629269;302720.089057;583.210000;599.418000;0;0.000000;5;0.085000;4;0.188000;5;0.152000;0;0.000000;0;0.000000
philosophers;ZGC-Java-25;6;12;0.375000;0.000124;301.071964192;603.127964767;302056.000575;302031.216660;579.524000;598.260000;0;0.000000;4;0.085000;3;0.135000;5;0.155000;0;0.000000;0;0.000000
reactors;G1GC-Java-21;6;19;1381.020000;0.445583;308.778048202;618.722140111;309944.091909;309935.741956;310.961000;612.159000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;19;1381.020000
reactors;G1GC-Java-25;6;16;1389.169000;0.438452;300.076894678;616.917915008;316841.020330;316834.755749;308.911000;597.786000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;16;1389.169000
reactors;ZGC-Java-21;6;23;0.583000;0.000190;308.451209518;615.532472983;307081.263465;307071.130744;542.250000;603.227000;0;0.000000;8;0.133000;7;0.287000;8;0.163000;0;0.000000;0;0.000000
reactors;ZGC-Java-25;6;23;0.646000;0.000209;303.197503736;612.410882474;309213.378738;309204.784006;534.622000;602.203000;0;0.000000;8;0.143000;7;0.308000;8;0.195000;0;0.000000;0;0.000000
rx-scrabble;G1GC-Java-21;6;39;1381.654000;0.474700;300.097093924;601.780611976;301683.518052;291058.090868;304.924000;598.465000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;39;1381.654000
rx-scrabble;G1GC-Java-25;6;41;1504.657000;0.517251;300.007635275;601.740519494;301732.884219;290894.894777;300.838000;599.980000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;41;1504.657000
rx-scrabble;ZGC-Java-21;6;17;0.341000;0.000118;300.061729088;601.945983018;301884.253930;288710.834085;569.843000;601.865000;0;0.000000;6;0.079000;5;0.146000;6;0.116000;0;0.000000;0;0.000000
rx-scrabble;ZGC-Java-25;6;17;0.392000;0.000136;300.045273009;602.049545462;302004.272453;288663.107972;566.653000;599.828000;0;0.000000;6;0.091000;4;0.141000;7;0.160000;0;0.000000;0;0.000000
scala-doku;G1GC-Java-21;1;2;191.258000;0.063408;302.243126029;603.892591303;301649.465274;301628.468270;346.748000;500.063000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;2;191.258000
scala-doku;G1GC-Java-25;2;3;288.337000;0.094879;300.433946264;604.356703445;303922.757181;303900.431548;316.382000;591.023000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;3;288.337000
scala-doku;ZGC-Java-21;6;60;1.926000;0.000633;302.472542913;606.855860307;304383.317394;304359.887714;322.332000;587.097000;0;0.000000;24;0.466000;12;0.775000;24;0.685000;0;0.000000;0;0.000000
scala-doku;ZGC-Java-25;6;80;2.788000;0.000923;302.118123740;604.194377944;302076.254204;302050.840054;304.529000;587.894000;0;0.000000;32;0.692000;16;1.071000;32;1.025000;0;0.000000;0;0.000000
scala-kmeans;G1GC-Java-21;2;5;333.332000;0.110722;300.075460272;601.236127540;301160.667268;301052.043197;305.052000;570.959000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;5;333.332000
scala-kmeans;G1GC-Java-25;2;4;257.941000;0.085628;300.089019812;601.424848074;301335.828262;301234.064917;363.704000;563.878000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;4;257.941000
scala-kmeans;ZGC-Java-21;6;30;0.879000;0.000292;300.181264814;601.391064050;301209.799236;301104.518384;528.890000;595.064000;0;0.000000;12;0.198000;6;0.241000;12;0.440000;0;0.000000;0;0.000000
scala-kmeans;ZGC-Java-25;6;115;3.273000;0.001086;300.182442459;601.534430282;301351.987823;301242.528523;391.605000;596.577000;0;0.000000;46;0.807000;23;1.119000;46;1.347000;0;0.000000;0;0.000000
scala-stm-bench7;G1GC-Java-21;6;94;17841.158000;5.908878;300.124147552;602.080036480;301955.888928;301938.152174;495.452000;601.929000;1;11.118000;0;0.000000;0;0.000000;0;0.000000;1;91.567000;92;17738.473000
scala-stm-bench7;G1GC-Java-25;6;87;15542.042000;5.149553;300.608185748;602.439629105;301831.443357;301813.396593;515.562000;602.171000;2;16.994000;0;0.000000;0;0.000000;0;0.000000;2;50.429000;83;15474.619000
scala-stm-bench7;ZGC-Java-21;6;39;1.089000;0.000361;301.242523900;602.977711297;301735.187397;301714.187977;517.710000;597.697000;0;0.000000;14;0.282000;11;0.422000;14;0.385000;0;0.000000;0;0.000000
scala-stm-bench7;ZGC-Java-25;6;44;1.414000;0.000468;300.572599417;602.936319845;302363.720428;302343.652112;525.347000;602.920000;0;0.000000;16;0.343000;12;0.582000;16;0.489000;0;0.000000;0;0.000000
scrabble;G1GC-Java-21;6;46;2336.901000;0.774136;300.002768201;601.978785961;301976.017760;301872.086850;528.713000;600.566000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;46;2336.901000
scrabble;G1GC-Java-25;6;45;2525.422000;0.836531;300.177421453;602.175846369;301998.424916;301892.117287;532.611000;601.975000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;0;0.000000;45;2525.422000
scrabble;ZGC-Java-21;6;18;0.510000;0.000169;300.218853983;602.409240140;302190.386157;302037.553584;596.339000;602.081000;0;0.000000;6;0.119000;6;0.260000;6;0.131000;0;0.000000;0;0.000000
scrabble;ZGC-Java-25;6;24;0.811000;0.000268;300.146104701;602.572242847;302426.138146;302287.834743;595.084000;602.532000;0;0.000000;8;0.180000;8;0.435000;8;0.196000;0;0.000000;0;0.000000
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
benchmark;environment;stw_pause_count;total_stw_ms;stw_overhead_percent;;;;;;;;;;;;;;;;;;;
akka-uct;G1GC-Java-21;41;5177.575000;1.668715;;;;;;;;;;;;;;;;;;;
akka-uct;G1GC-Java-25;40;5124.295000;1.688350;;;;;;;;;;;;;;;;;;;
akka-uct;ZGC-Java-21;27;0.774000;0.000247;;;;;;;;;;;;;;;;;;;
akka-uct;ZGC-Java-25;32;1.010000;0.000319;;;;;;;;;;;;;;;;;;;
als;G1GC-Java-21;41;2263.569000;0.735930;;;;;;;;;;;;;;;;;;;
als;G1GC-Java-25;26;2280.829000;0.740026;;;;;;;;;;;;;;;;;;;
als;ZGC-Java-21;14;0.328000;0.000107;;;;;;;;;;;;;;;;;;;
als;ZGC-Java-25;20;0.520000;0.000171;;;;;;;;;;;;;;;;;;;
chi-square;G1GC-Java-21;39;1906.774000;0.617298;;;;;;;;;;;;;;;;;;;
chi-square;G1GC-Java-25;34;1800.417000;0.582801;;;;;;;;;;;;;;;;;;;
chi-square;ZGC-Java-21;9;0.177000;0.000057;;;;;;;;;;;;;;;;;;;
chi-square;ZGC-Java-25;9;0.217000;0.000070;;;;;;;;;;;;;;;;;;;
db-shootout;G1GC-Java-21;39;1958.460000;0.609648;;;;;;;;;;;;;;;;;;;
db-shootout;G1GC-Java-25;37;1860.941000;0.591274;;;;;;;;;;;;;;;;;;;
db-shootout;ZGC-Java-21;24;0.646000;0.000202;;;;;;;;;;;;;;;;;;;
db-shootout;ZGC-Java-25;17;0.618000;0.000196;;;;;;;;;;;;;;;;;;;
dec-tree;G1GC-Java-21;32;2010.939000;0.649964;;;;;;;;;;;;;;;;;;;
dec-tree;G1GC-Java-25;32;2064.135000;0.669298;;;;;;;;;;;;;;;;;;;
dec-tree;ZGC-Java-21;11;0.232000;0.000075;;;;;;;;;;;;;;;;;;;
dec-tree;ZGC-Java-25;8;0.167000;0.000054;;;;;;;;;;;;;;;;;;;
dotty;G1GC-Java-21;4;989.352000;0.602012;;;;;;;;;;;;;;;;;;;
dotty;G1GC-Java-25;4;3087.956000;1.889113;;;;;;;;;;;;;;;;;;;
dotty;ZGC-Java-21;19;0.472000;0.000274;;;;;;;;;;;;;;;;;;;
dotty;ZGC-Java-25;15;0.437000;0.000254;;;;;;;;;;;;;;;;;;;
finagle-chirper;G1GC-Java-21;21;1175.529000;0.386183;;;;;;;;;;;;;;;;;;;
finagle-chirper;G1GC-Java-25;18;1021.972000;0.334031;;;;;;;;;;;;;;;;;;;
finagle-chirper;ZGC-Java-21;11;0.318000;0.000104;;;;;;;;;;;;;;;;;;;
finagle-chirper;ZGC-Java-25;11;0.346000;0.000113;;;;;;;;;;;;;;;;;;;
finagle-http;G1GC-Java-21;29;1480.207000;0.478671;;;;;;;;;;;;;;;;;;;
finagle-http;G1GC-Java-25;26;1314.734000;0.428100;;;;;;;;;;;;;;;;;;;
finagle-http;ZGC-Java-21;17;0.496000;0.000161;;;;;;;;;;;;;;;;;;;
finagle-http;ZGC-Java-25;11;0.400000;0.000131;;;;;;;;;;;;;;;;;;;
fj-kmeans;G1GC-Java-21;41;2041.998000;0.673089;;;;;;;;;;;;;;;;;;;
fj-kmeans;G1GC-Java-25;38;1896.210000;0.626709;;;;;;;;;;;;;;;;;;;
fj-kmeans;ZGC-Java-21;15;0.419000;0.000136;;;;;;;;;;;;;;;;;;;
fj-kmeans;ZGC-Java-25;18;0.549000;0.000180;;;;;;;;;;;;;;;;;;;
future-genetic;G1GC-Java-21;22;807.108000;0.267076;;;;;;;;;;;;;;;;;;;
future-genetic;G1GC-Java-25;23;932.401000;0.308005;;;;;;;;;;;;;;;;;;;
future-genetic;ZGC-Java-21;30;0.855000;0.000282;;;;;;;;;;;;;;;;;;;
future-genetic;ZGC-Java-25;30;0.829000;0.000273;;;;;;;;;;;;;;;;;;;
gauss-mix;G1GC-Java-21;26;1773.022000;0.566901;;;;;;;;;;;;;;;;;;;
gauss-mix;G1GC-Java-25;23;1547.218000;0.486548;;;;;;;;;;;;;;;;;;;
gauss-mix;ZGC-Java-21;8;0.134000;0.000043;;;;;;;;;;;;;;;;;;;
gauss-mix;ZGC-Java-25;8;0.175000;0.000055;;;;;;;;;;;;;;;;;;;
log-regression;G1GC-Java-21;28;2127.932000;0.688038;;;;;;;;;;;;;;;;;;;
log-regression;G1GC-Java-25;20;1608.544000;0.519949;;;;;;;;;;;;;;;;;;;
log-regression;ZGC-Java-21;15;0.341000;0.000110;;;;;;;;;;;;;;;;;;;
log-regression;ZGC-Java-25;0;0.000000;0.000000;;;;;;;;;;;;;;;;;;;
mnemonics;G1GC-Java-21;44;1777.231000;0.630523;;;;;;;;;;;;;;;;;;;
mnemonics;G1GC-Java-25;44;1767.904000;0.630585;;;;;;;;;;;;;;;;;;;
mnemonics;ZGC-Java-21;19;0.481000;0.000171;;;;;;;;;;;;;;;;;;;
mnemonics;ZGC-Java-25;24;0.567000;0.000200;;;;;;;;;;;;;;;;;;;
movie-lens;G1GC-Java-21;34;1963.426000;0.592903;;;;;;;;;;;;;;;;;;;
movie-lens;G1GC-Java-25;32;1650.026000;0.504502;;;;;;;;;;;;;;;;;;;
movie-lens;ZGC-Java-21;20;0.424000;0.000131;;;;;;;;;;;;;;;;;;;
movie-lens;ZGC-Java-25;17;0.482000;0.000147;;;;;;;;;;;;;;;;;;;
naive-bayes;G1GC-Java-21;37;2475.140000;0.796207;;;;;;;;;;;;;;;;;;;
naive-bayes;G1GC-Java-25;37;2518.474000;0.813233;;;;;;;;;;;;;;;;;;;
naive-bayes;ZGC-Java-21;20;0.573000;0.000184;;;;;;;;;;;;;;;;;;;
naive-bayes;ZGC-Java-25;14;0.524000;0.000169;;;;;;;;;;;;;;;;;;;
neo4j-analytics;G1GC-Java-21;41;1885.946000;0.578765;;;;;;;;;;;;;;;;;;;
neo4j-analytics;G1GC-Java-25;39;1834.662000;0.551399;;;;;;;;;;;;;;;;;;;
neo4j-analytics;ZGC-Java-21;14;0.357000;0.000107;;;;;;;;;;;;;;;;;;;
neo4j-analytics;ZGC-Java-25;15;0.364000;0.000109;;;;;;;;;;;;;;;;;;;
page-rank;G1GC-Java-21;68;12558.241000;6.005925;;;;;;;;;;;;;;;;;;;
page-rank;G1GC-Java-25;68;13186.600000;6.335375;;;;;;;;;;;;;;;;;;;
page-rank;ZGC-Java-21;17;0.455000;0.000219;;;;;;;;;;;;;;;;;;;
page-rank;ZGC-Java-25;13;0.409000;0.000199;;;;;;;;;;;;;;;;;;;
par-mnemonics;G1GC-Java-21;49;2000.966000;0.728324;;;;;;;;;;;;;;;;;;;
par-mnemonics;G1GC-Java-25;41;1688.761000;0.616270;;;;;;;;;;;;;;;;;;;
par-mnemonics;ZGC-Java-21;14;0.298000;0.000108;;;;;;;;;;;;;;;;;;;
par-mnemonics;ZGC-Java-25;14;0.366000;0.000131;;;;;;;;;;;;;;;;;;;
philosophers;G1GC-Java-21;40;1726.443000;0.569987;;;;;;;;;;;;;;;;;;;
philosophers;G1GC-Java-25;43;1923.903000;0.634408;;;;;;;;;;;;;;;;;;;
philosophers;ZGC-Java-21;14;0.425000;0.000140;;;;;;;;;;;;;;;;;;;
philosophers;ZGC-Java-25;12;0.375000;0.000124;;;;;;;;;;;;;;;;;;;
reactors;G1GC-Java-21;19;1381.020000;0.445583;;;;;;;;;;;;;;;;;;;
reactors;G1GC-Java-25;16;1389.169000;0.438452;;;;;;;;;;;;;;;;;;;
reactors;ZGC-Java-21;23;0.583000;0.000190;;;;;;;;;;;;;;;;;;;
reactors;ZGC-Java-25;23;0.646000;0.000209;;;;;;;;;;;;;;;;;;;
rx-scrabble;G1GC-Java-21;39;1381.654000;0.474700;;;;;;;;;;;;;;;;;;;
rx-scrabble;G1GC-Java-25;41;1504.657000;0.517251;;;;;;;;;;;;;;;;;;;
rx-scrabble;ZGC-Java-21;17;0.341000;0.000118;;;;;;;;;;;;;;;;;;;
rx-scrabble;ZGC-Java-25;17;0.392000;0.000136;;;;;;;;;;;;;;;;;;;
scala-doku;G1GC-Java-21;2;191.258000;0.063408;;;;;;;;;;;;;;;;;;;
scala-doku;G1GC-Java-25;3;288.337000;0.094879;;;;;;;;;;;;;;;;;;;
scala-doku;ZGC-Java-21;60;1.926000;0.000633;;;;;;;;;;;;;;;;;;;
scala-doku;ZGC-Java-25;80;2.788000;0.000923;;;;;;;;;;;;;;;;;;;
scala-kmeans;G1GC-Java-21;5;333.332000;0.110722;;;;;;;;;;;;;;;;;;;
scala-kmeans;G1GC-Java-25;4;257.941000;0.085628;;;;;;;;;;;;;;;;;;;
scala-kmeans;ZGC-Java-21;30;0.879000;0.000292;;;;;;;;;;;;;;;;;;;
scala-kmeans;ZGC-Java-25;115;3.273000;0.001086;;;;;;;;;;;;;;;;;;;
scala-stm-bench7;G1GC-Java-21;94;17841.158000;5.908878;;;;;;;;;;;;;;;;;;;
scala-stm-bench7;G1GC-Java-25;87;15542.042000;5.149553;;;;;;;;;;;;;;;;;;;
scala-stm-bench7;ZGC-Java-21;39;1.089000;0.000361;;;;;;;;;;;;;;;;;;;
scala-stm-bench7;ZGC-Java-25;44;1.414000;0.000468;;;;;;;;;;;;;;;;;;;
scrabble;G1GC-Java-21;46;2336.901000;0.774136;;;;;;;;;;;;;;;;;;;
scrabble;G1GC-Java-25;45;2525.422000;0.836531;;;;;;;;;;;;;;;;;;;
scrabble;ZGC-Java-21;18;0.510000;0.000169;;;;;;;;;;;;;;;;;;;
scrabble;ZGC-Java-25;24;0.811000;0.000268;;;;;;;;;;;;;;;;;;;
